Date,SP,VIX,V0_var,Vol_3M,Vol_1Y,Strike,Put_Price_90D,Put_Price_1Y
2016-04-01,2072.78,13.1,0.017161,15.16364795315141,17.763942956575054,1761.863,0.7198880050635914,29.64751356052983
2016-04-04,2066.13,14.12,0.0199374399999999,15.829760560335608,18.04859587530662,1756.2105000000001,0.9696347293394751,30.90013549089832
2016-04-05,2045.17,15.42,0.02377764,16.707373952622795,18.43506771951959,1738.3945,1.366499044054315,32.428518879383205
2016-04-06,2066.66,14.09,0.01985281,15.809871163064091,18.039985600988416,1756.6609999999998,0.961627198707113,30.866996909111037
2016-04-07,2041.91,16.16,0.02611456,17.219560220639348,18.666335942635783,1735.6235,1.6443201961201623,33.493491023261754
2016-04-08,2047.6,15.36,0.0235929599999999,16.66622625799496,18.416667441571956,1740.4599999999998,1.3469687467079225,32.378473318589954
2016-04-11,2041.99,16.26,0.02643876,17.289417170923123,18.698193754935826,1735.6915,1.685099590008761,33.649561422744455
2016-04-12,2061.72,14.85,0.02205225,16.318904983215532,18.2624389490116,1752.4619999999998,1.1847008248154083,31.85725997545893
2016-04-13,2082.42,13.84,0.0191545599999999,15.644806386532872,17.968788047195222,1770.057,0.9016883221345857,30.76091860634716
2016-04-14,2082.78,13.72,0.01882384,15.566014050691868,17.934967312153248,1770.363,0.8708320687461892,30.60443527040104
2016-04-15,2080.73,13.62,0.0185504399999999,15.500575506065898,17.90696011729798,1768.6205,0.8447810806117815,30.44066708029726
2016-04-18,2094.34,13.35,0.01782225,15.32491935813634,17.83214946502783,1780.189,0.7846355606543511,30.281410613040862
2016-04-19,2100.8,13.24,0.01752976,15.253794648448046,17.80201198483144,1785.68,0.7613691626012695,30.230393830740752
2016-04-20,2102.4,13.28,0.01763584,15.279628354761302,17.8129481108958,1787.04,0.7712206905318304,30.305837696266508
2016-04-21,2091.48,13.95,0.0194602499999999,15.717284174269938,17.999992600890383,1777.758,0.9348886543797335,31.04490715287733
2016-04-22,2091.58,13.22,0.01747684,15.240890647655007,17.796553780453987,1777.8429999999998,0.7534479309781474,30.071701628497863
2016-04-25,2087.79,14.08,0.01982464,15.803245211783173,18.03711866739015,1774.6215,0.9686907448359463,31.168778977513455
2016-04-26,2091.7,13.96,0.01948816,15.723884872105776,18.002838933425533,1777.9449999999997,0.9376838377413677,31.061882581386612
2016-04-27,2095.15,13.77,0.01896129,15.598809137005864,17.949031231678273,1780.8775,0.8889019867375474,30.853848885364982
2016-04-28,2075.81,15.22,0.02316484,16.57044584937658,18.373941563309167,1764.4385,1.3164170114994533,32.61634663548051
2016-04-29,2065.3,15.7,0.024649,16.900166212765768,18.521637602697812,1755.505,1.482707943211139,33.169074637533356
2016-05-02,2081.43,14.68,0.0215502399999999,16.204129266545294,18.211904522235248,1769.2154999999998,1.142023647806198,31.916754121765223
2016-05-03,2063.37,15.6,0.024336,16.831167732903527,18.49058760299268,1753.8645,1.4440512221800361,32.986890829220556
2016-05-04,2051.12,16.05,0.02576025,17.14288977448207,18.631457046264156,1743.4519999999998,1.6075562199677336,33.47462844019623
2016-05-05,2050.63,15.91,0.0253128099999999,17.045573847696257,18.587316754010605,1743.0355,1.5521670955407956,33.252012635385654
2016-05-06,2057.14,14.72,0.02166784,16.231089223555163,18.22375519874156,1748.5689999999997,1.141092081801112,31.60103436037059
2016-05-09,2058.69,14.57,0.02122849,16.13013735592247,18.179441952937985,1749.8865,1.0959447040457775,31.41266919366035
2016-05-10,2084.39,13.63,0.01857769,15.507110209075572,17.909753582270486,1771.7314999999999,0.8487655007345829,30.507556892948855
2016-05-11,2064.46,14.69,0.02157961,16.21086657882361,18.21486489056052,1754.791,1.1358132576011357,31.670757697362433
2016-05-12,2064.11,14.41,0.02076481,16.022905211843966,18.1325573047182,1754.4935,1.0511553088627181,31.270795092807646
2016-05-13,2046.61,15.04,0.0226201599999999,16.447782062189816,18.31943909621967,1739.6184999999998,1.2375137664730786,31.896282767620676
2016-05-16,2066.66,14.68,0.0215502399999999,16.204129266545294,18.211904522235248,1756.6609999999998,1.133919753234629,31.690270186019802
2016-05-17,2047.21,15.57,0.02424249,16.81049921900078,18.481301171098096,1740.1285,1.4217786038586837,32.68372156396191
2016-05-18,2047.63,15.95,0.02544025,17.073347894717642,18.59989947459461,1740.4855,1.5654515023439828,33.26441221678061
2016-05-19,2040.04,16.33,0.0266668899999999,17.33840474424342,18.72057866344352,1734.0339999999999,1.7123792116552394,33.72619771480504
2016-05-20,2052.32,15.2,0.023104,16.55678955993882,18.367861736662903,1744.472,1.294688618240194,32.21799938480797
2016-05-23,2048.04,15.82,0.02502724,16.983172303652264,18.55909017614149,1740.8339999999998,1.5156008316675766,33.07317173305523
2016-05-24,2076.06,14.42,0.02079364,16.029593445748688,18.135475961960527,1764.6509999999998,1.06019176981102,31.46588080706175
2016-05-25,2090.54,13.9,0.019321,15.684310130748392,17.985784802903154,1776.9589999999998,0.9210793515935194,30.962587384876656
2016-05-26,2090.1,13.43,0.01803649,15.37680730185065,17.85419197227003,1776.5849999999998,0.8020461126178056,30.325339127822303
2016-05-27,2099.06,13.12,0.0172134399999999,15.176500041120429,17.76936158715729,1784.2009999999998,0.7334831852936503,30.049279569879218
2016-05-31,2096.96,14.19,0.0201356099999999,15.87623618118989,18.06874168096456,1782.416,1.0038598807146641,31.45877596671528
2016-06-01,2099.33,14.2,0.0201639999999999,15.88288318063293,18.071625946797987,1784.4305,1.0078440914102629,31.508322451607796
2016-06-02,2105.26,13.63,0.01857769,15.507110209075572,17.909753582270486,1789.4710000000002,0.8572637836856316,30.813014466798222
2016-06-03,2099.13,13.47,0.01814409,15.402801586818846,17.86525235196144,1784.2605,0.8151840896002476,30.509432891424694
2016-06-06,2109.41,13.65,0.01863225,15.520185734061814,17.915345353845424,1792.9985,0.8640276172150649,30.900793785511837
2016-06-07,2112.13,14.05,0.01974025,15.783378935291116,18.028527350664273,1795.3105,0.9716180793133731,31.49030072848882
2016-06-08,2119.12,14.08,0.01982464,15.803245211783173,18.03711866739015,1801.252,0.9832272073325186,31.636506979546937
2016-06-09,2115.48,14.64,0.02143296,16.177197923382685,18.200078407566465,1798.158,1.1480609276415734,32.380679554970015
2016-06-10,2096.07,17.03,0.02900209,17.832117071990133,18.94819584918392,1781.6595,2.075920580406745,35.795208354141664
2016-06-13,2079.06,20.97,0.04397409,20.719880635384484,20.347142785694572,1767.2009999999998,4.535428332728742,42.706527759923915
2016-06-14,2075.32,20.5,0.0420249999999999,20.36713963000141,20.170518678043805,1764.0220000000002,4.166660202795185,41.70098873422552
2016-06-15,2071.5,20.14,0.04056196,20.09829542011115,20.036916885760167,1760.7749999999999,3.895528934767171,40.92689778305271
2016-06-16,2077.99,19.37,0.03751969,19.52740933591316,19.75621059823758,1766.2914999999998,3.3779964978130153,39.596537527232954
2016-06-17,2071.22,19.41,0.0376748099999999,19.556921008370377,19.77061974501479,1760.5369999999998,3.393237900071199,39.5417891449365
2016-06-20,2083.25,18.37,0.03374569,18.795130791564052,19.402345537103017,1770.7625,2.768402258753156,37.87562231880605
2016-06-21,2088.9,18.48,0.0341510399999999,18.875143706769393,19.44066150428973,1775.565,2.840173500811133,38.17484231977335
2016-06-22,2085.45,21.17,0.04481689,20.870562048811433,20.423043225584227,1772.6324999999997,4.7091077289893235,43.240605527290086
2016-06-23,2113.32,17.25,0.0297562499999999,17.98866852010598,19.02112365368518,1796.3220000000001,2.2008936677669695,36.46135439147508
2016-06-24,2037.41,25.76,0.06635776,24.408079208930353,22.275355114045915,1731.7985,9.063836788904752,52.1473126591041
2016-06-27,2000.54,23.85,0.05688225,22.919340543875904,21.48023729752757,1700.4589999999998,6.876572763562223,46.96363303798222
2016-06-28,2036.09,18.75,0.03515625,19.07211597338405,19.535355360947637,1730.6764999999998,2.9260977009380724,37.68433764451731
2016-06-29,2070.77,16.64,0.02768896,17.556201317576082,18.820540880538015,1760.1544999999999,1.872254862474783,34.72862129987277
2016-06-30,2098.86,15.63,0.0244296899999999,16.851850609393786,18.499887235598557,1784.031,1.4801903041009794,33.600302948824776
2016-07-01,2102.95,14.77,0.02181529,16.26482919125948,18.238603011510275,1787.5074999999997,1.1824859438354167,32.37747682371901
2016-07-05,2088.55,15.58,0.02427364,16.817387124522405,18.48439518042187,1775.2675000000002,1.4542103743941084,33.358947528715134
2016-07-06,2099.73,14.96,0.02238016,16.393441940324983,18.295372376608817,1784.7704999999999,1.2427826439372325,32.606019364249846
2016-07-07,2097.9,14.76,0.02178576,16.258077652065545,18.23563038919985,1783.215,1.1764446309049816,32.28519651362848
2016-07-08,2129.9,13.2,0.017424,15.22799524415164,17.791102156580973,1810.415,0.762610082582615,30.596193533915766
2016-07-11,2137.16,13.54,0.0183331599999999,15.448371651092154,17.884670596812917,1816.5859999999998,0.8474047141650445,31.15712158125683
2016-07-12,2152.14,13.55,0.01836025,15.454889936738162,17.887451121555962,1829.3189999999997,0.8558779311696831,31.389210191438394
2016-07-13,2152.43,13.04,0.0170041599999999,15.125144154231904,17.747726789907187,1829.5654999999997,0.7339360388996532,30.707405385840445
2016-07-14,2163.75,12.82,0.01643524,14.984645494535531,17.688779646964274,1839.1875,0.6892656851076957,30.579468893265414
2016-07-15,2161.74,12.67,0.01605289,14.889476683618255,17.649052841321343,1837.4789999999998,0.6570261817989937,30.356695442365208
2016-07-18,2166.89,12.44,0.0154753599999999,14.744561995427768,17.588876382326816,1841.8564999999999,0.6122612907633957,30.13468681317306
2016-07-19,2163.78,11.97,0.01432809,14.45237760725081,17.46872024557778,1839.2130000000002,0.5249015999874302,29.507458245308896
2016-07-20,2173.02,11.77,0.0138532899999999,14.329713623193513,17.418750898030705,1847.067,0.49332761326098407,29.390710261508673
2016-07-21,2165.17,12.74,0.01623076,14.933824851904518,17.667544944358628,1840.3945,0.6726930269148852,30.49542824559228
2016-07-22,2175.03,12.02,0.01444804,14.483202158671643,17.481321535739777,1848.7755000000002,0.5363790212362716,29.722255325249023
2016-07-25,2168.48,12.87,0.0165636899999999,15.01648198843563,17.702105810512055,1843.2079999999999,0.7015999104874986,30.711811638699828
2016-07-26,2169.18,13.05,0.01703025,15.13155597272054,17.75042534191034,1843.8029999999999,0.7419206619802416,30.95967232592068
2016-07-27,2166.58,12.83,0.01646089,14.99100828185482,17.69144153193851,1841.5929999999998,0.6923202506542623,30.632531679396948
